löpnummer,län,kommun,socken,föreningensnamn,föreningensinstiftelseår,objekt,formavägande,intressenter,fastighetsbeteckning,adress,arkitekt,byggmästare,nybyggnadsår,miljö,renoveringombyggnad,byggnaderfunktioner,verksamhetidag,tidigarefunktion,litteratur,arkivhandlingar,källa,anmärkning
0698,O,Ale,Starrkärr,"Ale Folkets husförening, tidigare Älvängens byggnadsförening",1930,Älvängens Folkets Hus,ekonomisk förening upa,"fackförening, s-förening, SSU-klubb, enskilda",,,,,1931,Inne i tätortsbebyggelse,"Renoverades 1952 för att sedan förfalla efter att sista filmen visats 1964. 1976, när informanten kom in i bilden, var huset uthyrt som verkstad?, stod tomt ett par år, vissa i kommunen ville låta brandkåren träna på det. Då vaknade medlemmarna och rustade upp huset ideellt, så att 1980 kunde Bengt Göransson återinviga huset, modernt men i samma stil som ursprunget.",,,,"Återinvigning av Folkets Hus Älvängen ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10 fragment, historik",ARAB: Folkets husföreningar vol. 3 [samling],"FHP-enkät samt följebrev, ARAB.","1969 gick Nol-Alafors och Älvängen ihop och blev Starrkärrs Folkets husförening, som sedermera ändrats till Ale Folkets husförening."
0699,E,Kinda,,Ydrefors samhällsförening,,,,,,,,,,,,,,,,,FHP,
0700,O,Kungälv,Ytterby,Ytterby Folkets husförening upa,1932,Ytterby Folkets Hus,ekonomisk förening upa,"arbetarekommun, s-förening",Kastellegården 1:65 Ytterby,Runängsgatan 1,,,1935,i anslutning till tätortsbebyggelse,,,,,,"ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10, fragment I lokalen 1935-","FHP-enkät, SF, ARAB",
0701,Z,Härjedalen,Ytterhogdal,Folkets Hus byggnadsförening Ytterhogdal,1938,Ytterhogdals Folkets Hus,,,,,,,1938,,,,,,"ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10 fragment, historik",,"FHP, SF",
0702,T,Askersund,,,,Zinkgruvans Folkets Hus,,,,,,,,,,,,,,,FHP,
0703,E,Norrköping,,Åby Folkets husförening,1906,Åby Folkets Hus,,,,,,,1922,,,,,,,"ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10, fragment ARAB: [samling]: organisationsklipp vol. 10","FHP, SF, ARAB, Östergötlands Folkblad 7 mars 1947",
0704,H,Emmaboda,Algutsboda,Åfors Folkets husförening upa,,Åfors Folkets Hus,,,,,Gösta Johansson,AB Ruben Fransen,1956,i anslutning till tätortsbebyggelse,,"scen, biograf, kök, danslokal",mötesverksamhet,,"ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10, fragment, historik",,"FHP-enkät, ARAB",Föreningen har haft tidigare FH på samma plats. Rivet.
0705,M,Kristianstad,Åhus,Åhus Folkets Hus & parkförening upa,1906,Åhusparken,ekonomisk förening upa,"fackföreningar, s-förening, enskilda, företag",Åhus 48:44,"Paradisvägen 43, Åhus",,,"FP 1906, FH 1961",inne i tätortsbebyggelse,,,,,"Elowsson, Nils: Åhus Folkets Hus- och parkförening 50 år : minnesskrift, 1956 Vårt nya Folkets Hus, Åhus Folkets Hus; Invigningen 2/12 1961 Nöjesplatsen Åhusparken : verksamhet och artister i Åhus Folkets Hus",I lokalen 1899- ARAB [samling]: Organisationsklipp vol. 14,"FHP-enkät, SF, FPC, Kristianstad Läns-Demokraten 29 mars 1946 och 3 mars 1956",Jubileumsfilm 1996 på video.
0706,D,Strängnäs,,Föreningen Folkets Hus Åkers Styckebruk,1924,Åkers Styckebruks Folkets Hus,,,,,,,1927,,,,,,,,"FHP, SF, NM",
0707,AC,Umeå,,Ålidhems Folkets husförening,1982.09.23,Ålidhemsgården,ideell förening,,Ålidhemsgården,Ekonomistråket 6-8,,Bostaden AB,,i anslutning till tätortsbebyggelse,,"kök, studielokal, föreningsexpedition","mötesverksamhet, föreningsexpedition, studiecirklar",,,"I lokalen och på Folkrörelsearkivet i Umeå: protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar","FHP-enkät, FA","Föreningen har tidigare haft lokaler i Ålidhems centrum, som man var tvingade att flytta ifrån. Dessa blev arbetsplats."
0708,T,Askersund,,,,Åmmeberg Folkets Hus,,,,,,,,,,,,,,,FHP,
0709,S,Eda,Eda,Föreningen Folkets Hus Åmotfors upa,1907,Åmotfors Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun",Centrum 2,,,,1962,inne i tätortsbebyggelse,1984,"scen, biograf, kök, restaurang, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, bio, studiecirklar",,,Folkrörelsernas arkiv för Värmland 1 vol. 1907-1971,"FHP-enkät, FPC, NAD",Föreningen har haft ett tidigare Folkets Hus på Åsvägen 2. Detta blev bostad.
0710,S,Eda,Eda,Folkets Park Åmotfors,1907,Åmotfors Folkets Park,ideell förening,,,,,,1924,inne i tätortsbebyggelse,,,,,,Folkrörelsernas arkiv för Värmland 8 vol. 1929-1959,"FHP-enkät, SF, FPC, NAD",
0711,X,Ockelbo,Åmot,Byggnadsföreningen Åmotsgården upa,1952,Åmotsgården,ekonomisk förening upa,enskilda,Åmot 4:9,"Åmotsvägen 8, Åmotsbruk",Bertil Müller,,1952-1953,inne i tätortsbebyggelse,,,,,,I lokalen och på Folkrörelsernas arkiv i Gävle,"FHP-enkät, FA",
0712,AC,Vindeln,Degerfors,Åmsele Folkets husförening upa,1954,Åmsele Folkets Hus,ekonomisk förening upa,enskilda,Åmsele 2:103,Byavägen 117,,Johan Nygren,1954,inne i tätortsbebyggelse,"1972 ny fasad, nödutgång flyttad, ny ingång till källaren 1992 handikappanpassning","scen, biograf, kök, studielokal, danslokal, matsal, sammanträdesrum","mötesverksamhet, teater, bio, dans, studiecirklar",Bio i privat regi. 1957 överläts huset till FH-föreningen.,,Folkrörelsearkivet i Västerbotten 1954-,FHP-enkät,Föreningen har haft ett tidigare FH utanför tätbebyggt område. Blev arbetsplats.
0713,Y,Ånge,,,,Ånge Folkets Hus,,,,,,,,,,,,,,,FHP,
0714,S,Årjäng,Silbodal,Föreningen Folkets Hus i Årjäng,,Årjängs Folkets Hus,ekonomiska föreningar,,,,,,,,,,,,,Årjängs kommuns centralarkiv och Folkrörelsernas arkiv för Värmland 1929-1963,"FHP, FA, NAD",
0715,O,Mariestad,,Årnäs Folkets husförening,,Årnäs Folkets Hus,,,,,,,,,,,,,,,FHP-enkät,Sålt till privatperson c:a 2001.
0716,AB,Stockholm,Enskede,Årsta Folkets husförening,1978,Årsta Folkets Hus,"ideell förening, fastigheten hyrs","Lokala föreningar av alla typer, partierna från V till M, arbetarrörelseanknutna, idrottsföreningar, kulturföreningar, mm",,Årsta Torg,Tore och Erik Ahlsén,,Början av 1950-talet,inne i tätortsbebyggelse,,,,"Byggt som biograf. Byggdes om till folkets hus sedan bioverksamheten lagts ned på 1960-talet, och invigdes 1978.",,I lokalen,FHP-enkät,
0717,G,Växjö,,,,Åryds Folkets Hus,,,,,,,,,,,,,,,FHP,
0718,AC,Åsele,Åsele,Åsele Folkets husförening upa,1946,Åsele Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, enskilda, kommun",Lönnen 7,Lillgatan 2,,Helmer Odhag,1953,inne i tätortsbebyggelse,,,,,,I lokalen samt på FA i Umeå ARAB: [samling]: organisationsklipp vol. 10,"FHP-enkät, FA, Västerbottens Kuriren 9 febr 1955",
0719,X,Sandviken,,,,Åshammar Folkets Hus,,,,,,,,,,,,,,,FHP,
0720,E,Åtvidaberg,Åtvid,Föreningen Åtvidabergs Folkets Hus upa,1906,Åtvidabergs Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, enskilda",Ganymeden 10,"Stenhusgatan 1, Åtvidaberg",Axel Kumlien,Theodor Adelswärd,1869-1870,inne i tätortsbebyggelse,,,,Hotell,Minnesskrift till föreningen Åtvidabergs Folkparks tjugofemårsjubileum 1906 16/7 1931.,I lokalen samt på kommunarkivet,"FHP-enkät, SF",Inköpt 1916.
0721,G,Uppvidinge,,Älghults samhällsförening,,,,,,,,,,,,,,,,,FHP,Troligen samma som något av objekten i Älghult socken i länsstyrelsens inventering.
0722,O,Ale,Starrkärr,Nols Folkets husförening,1921,Nols Folkets Hus,,,,,,,1921,,,,,,,ARAB: [samling]: Organisationsklipp vol. 7,FHP-enkät samt följebrev. Ny Tid 29 maj 1933,Revs 1965.
0723,W,Älvdalen,Älvdalen,Älvdalens IF,1912,Älvdalsparken,ideell förening,idrottsförening,"Kyrkbyn 30:10, 9:5",Dalgatan 99,,,1950-talet,utanför tätortsbebyggelse,,,,,,ÄIF:s kansli,FHP-enkät,
0724,,,,Arnäs byggnadsförening i Arnäsvall upa,,,,,,,,,,,,,,,,ARAB samling FHP övriga landet vol 4: stadgar 1945,ARAB samling FHP övriga landet vol 1,Häri även stadgar för Arnäs östra byggnadsförening 1949
0725,C,Älvkarleby,,Älvkarleö Folkets husförening,1922,Älvkarleö Bruks Folkets Hus,,,,,,,1931,,,,,,,,"FHP, SF",
0726,BD,Älvsbyn,,Älvsbyns Folkets husförening,1940,Forum [Älvsbyn],ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda, kommun",Bonden 1,"Medborgargatan 2, Älvsbyn",Gunnar Andersson - “GAR” - ritkontor,,1953,inne i tätortsbebyggelse,"1980 utbyggnad och upprustning från 2800 kvm till 6000 kvm. 1997-1998 upprustning biograf: ventilation, belysning, stolar","scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, bio, dans, restaurang, konstutställningar, studiecirklar, musikkafé, sporthall mm",,,"Arbetarrörelsens arkiv, kommunalt arkiv och i lokalen 1940-",FHP-enkät,Föreningen har haft mindre FP: Selholmen 1940-1953. Kommunen tog över vid tillkomsten av Folkets Hus.
0727,AB,Stockholm,Brännkyrka,Byggnadsföreningen Älvsjö med omnejd upa,1923,Park Folkets Hus [Älvsjö],ekonomisk förening upa,enskilda,Stigluckan 16,"Götalandsvägen 181, Älvsjö","Ribbing, KF:s arkitektkontor",,1928,inne i tätortsbebyggelse,1984,"scen, kök, studielokal, föreningsexpeditioner","mötesverksamhet, föreningsexpeditioner, teater, dans, konstutställning, studielokal, inspelningslokal","Konsumbutik, biograf",,"ARAB: Folkets Hus och Parker, Stockholm vol. 2 [samling] fragment I lokalen","ARAB, FHP-enkät",tidigare namn Föreningen Folkets Hus i Älvsjö u p a 1919 K-märkt
0728,X,Hudiksvall,Bjuråker,Ängebo Folkets Hus / Svågagården,,Svågagården,Ekonomisk förening upa,"ABF, enskilda, lokala intresseföreningar",27:1,"Ängebo, 820 62 Bjuråker",Caspar Lindgren,Bygg Paul,1990,utanför tätortsbebyggelse,1998 tillbyggnad carport och verkstad 2000 ommålning hela huset,"scen, kök, restaurang, bibliotek, danslokal, konferenslokal","mötesverksamhet, restaurang, studiecirklar",,,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät,Föreningen har haft tidigare FH på samma plats. Rivet.
0729,Z,Härjedalen,Ängersjö,Ängersjö Folkets husförening,1928,Ängersjö Folkets Hus,ideell förening,enskilda,Ängersjö 120,Ängersjö,,,1935,utanför tätortsbebyggelse,"Ett flertal restaureringar har gjorts under åren, den senaste och största 1993, med arbeten in- och utvändigt och en utbyggnad av serveringen på ca 100 kvm.","scen, kök, danslokal, serveringslokal, 3 lägenheter","mötesverksamhet, dans, uthyrning, fester, lägerverksamhet, kyrkkaffe mm",bostad,,"i lokalen protokoll, räkenskaper, verksamhetsberättelser, ritningar",FHP-enkät,
0730,O,Öckerö,,,,Öckerö Folkets Hus,,,,,,,,,,,,,,,FHP,
0731,O,Färgelanda,Ödeborg,Ödeborg Folkets Hus ekonomisk förening,1937,Ödeborgs Folkets Hus,ekonomisk förening upa,enskilda andelsägare,Brötegården 1:24,Bruksvägen,,,1937,inne i tätortsbebyggelse,,"scen, kök, studielokal, danslokal","mötesverksamhet, dans",,,"Bohusläns folkrörelsearkiv, Uddevalla 1914-1996  0, 60 hm ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10 fragment","FHP-enkät, FA",
0732,E,Ödeshög,Ödeshög,Ödeshögs Folkets husförening upa,1945,Ödeshögs Folkets Park,ekonomisk förening upa,"fackförening, arbetarekommun, enskilda, idrottsklubb",Orrnäs 2:7,Hasselvägen,,,1950,i anslutning till tätortsbebyggelse,"1990 tillbyggnad av entré, garderob, toaletter",Inbyggd dansbana,"dans, studiecirklar, uthyrningsverksamhet för privata tillställningar",,,i lokalen och hemma hos styrelseledamöter,"FHP-enkät, FPC",
0733,AB,Ekerö,,Folkets Husföreningen i Färentuna u p a,,"Ölsta Folkets Hus & Park, Färentuna",,,,,,,"FP 1912, FH1946",,,,,,,"ARAB [samling] Folkets Hus och Parker, Stockholm vol. 1, fragment","FHP, ARAB, LS",
0734,T,Örebro,,Folkets Hus 2,1987,Örebro Folkets Hus 2,ideell förening,"fackförening, arbetarekommun, s-förening, enskilda",Klostret 12,"Klostergatan 34, Örebro",,,1928,inne i tätortsbebyggelse,,,,,"Örebro Folkets husförening. ....kortfattad 10-årsöversikt. Folkets Hus i Örebro och Hällefors : en jämförelse åren 1933/34 och 1951/52 Lidström, Axel: Från Gamla gatan till Medborgarhuset. Historik över",Folkrörelsernas arkiv i Örebro län NM inventering 1958 fotografier ARAB: [samling]: organisationsklipp vol. 10,"FHP-enkät, SF, FA, NM, ARAB, Örebro Kuriren 24 spet 1924, 25 maj, 22 och 24 dec 1928, 1 febr 195021 dec 1953, 4 nov 1954",
0735,M,Landskrona,,,,Örja Folkets Hus,,,,,,,,,,,,,,,FHP-enkät,
0736,AC,Skellefteå,,Örvikens Folkets husförening,1924,Örvikens Folkets Hus,,,Yttervik 3:18,,,,1930,,,,,,,,"FHP, SF; LS",
0737,AB,Vallentuna,Össeby-Garn,Össeby-Garns Folkets husförening,1936,Dragonhagen,ekonomisk förening upa,"s-förening, enskilda, Brottby sportklubb, Tuna Gille",Uddra 1:26,,,,1939,utanför tätortsbebyggelse,,"friluftsscen, dansbana, tombola, pilkastningsbana, kiosker, cafeteria","mötesverksamhet, privata fester",,,Hemma hos sekreteraren samt i Vallentuna FH fragment på ARAB,"FHP-enkät, LS, ARAB",
0738,T,Hallsberg,Viby,Östansjö Folkets husförening,1920,Östansjö Folkets Hus,ekonomisk förening upa,"s-förening, enskilda, kommun",Breslätt 14:1,"Lönngatan 6, Östansjö","K-konsult, Örebro",N.A. Bygg Hallsberg,1972,inne i tätortsbebyggelse,,,,,,Folkrörelsearkivet i Örebro 17 vol. 1920-1987,"FHP-enkät, FA, NAD",
0739,Y,Ånge,,,,Östavalls Folkets Hus,,,,,,,,,,,,,,,FHP,
0740,C,Östhammar,Film,Österby Dannemora Folkets husförening,1922,Österbybruk Dannemora Folkets Hus & Park,,,Film Österby 8:1,,,,"FP 1923, FH 1939",,,,,,"Österberg, Gottfrid: Minnesskrift utgiven med anledning av Österby-Dannemora Folkets Hus-förenings Tjugofem års jubileum, 1947 [Folkets Hus förening i Österby-Dannemora] 50-års jubileum 1922-1972 Ett bruk i förvandling. En krönika om arbetarrörelsen i","Folkrörelsearkivet för Uppsala län och Dannemora förenings-  och hembygdsarkiv 1922-1972, fragment. Uppsala läns museum inventering. ARAB: Folkets husföreningar vol. 3 [samling] ARAB: [samling]: organisationsklipp vol. 10","FHP, SF, NM, NAD, FA. ULS, ARAB Arbetarbladet 12 jan 1940, 23 och 28 maj 1947, SD 2 sept 1940, MT 25 maj 1947",Ett äldre FH fanns 1922-39 på samma plats som det nya
0741,Y,Sollefteå,Långsele,Österforse byggnadsförening upa,1917,Österforse Folkets Hus,ekonomisk förening upa,"Soc. fonder Graningeverken AB, insatser arbetare",1:176,Österforse,BPA Byggproduktion AB,BPA Byggproduktion AB,1953,utanför tätortsbebyggelse,1973 Ny serveringsdel byggdes efter en brand,"scen, kök, studielokal, danslokal","mötesverksamhet, dans, studiecirklar, uthyrning",,,Hos ordf. och kassör,FHP-enkät,Föreningen har haft ett tidigare FH som såldes till vägförvaltningen.
0742,Z,Östersund,Östersund,Folkets Hus i Östersund ekonomisk förening,1906,Östersunds Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, kommun, Scandic Hotel, PEAB",Ägir 1,Krondikesv. 25,"Anders Wilhelmsson, Riksbyggen",BPA,1980-1982,inne i tätortsbebyggelse,,"scen, biograf, kök, restaurang, studielokal, föreningsexpedition, danslokal, utescen","mötesverksamhet, föreningsexpedition, bio, dans, restaurang, konstutställningar, studiecirklar, konferenser, länskulturcentrum. Länsmusiken, Musikskolan",,"Hansen, Kjell: Föreningen Folkets Hus i Östersund 1906-1980, Östersund, 1981 Engman, Annika: “Vi bygger Östersunds Folkets Hus” : en berättelse om ett stort kollektivt förarbete av människor från de olika","Föreningsarkivet Östersund, ARAB samt i lokalen","FHP-enkät, ARAB, FA",Föreningen har haft en Folkets park på den plats där FH nu står. FP brann ner till grunden 1980.
0743,U,Heby,,Östervåla byggnadsförening,1923,Fokus,ekonomisk förening upa,"arbetarekommun, s-förening, IOGT-NTO",Houskalund 1:1,Torgvägen 1,,,1967,inne i tätortsbebyggelse,,"scen, biograf, kök, studielokal, bibliotek","mötesverksamhet, föreningsexpedition, teater, bio, konstutställningar, studiecirklar",,,I lokalen 1933-,FHP-enkät,Föreningen har haft tidigare FH. Rivet.
0744,AB,Danderyd,,Danderyds Byggnadsförening u p a,,Föreningshuset Klingsta,,,,,,,,,,,,,,ARAB: Folkets Hus och Parker [samling] vol. 1 fragment,ARAB,verksamhetsberättelserna omfattar åren 1939-42
0745,S,Torsby,,Östmarks Folkets husförening upa,mitten av 1900-talet,Östmarks Folkets Hus,ideell förening,enskilda,Östmark 1:630 m fl,"Metbäcken 107, Östmark",,,,utanför tätortsbebyggelse,,,,bostad,,,FHP-enkät,
0746,M,Kristianstad,Östra Sönnarslöv,Byggnadsföreningen Folkets Hus upa,1909,Östra Sönnarslöv Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun",Sönnarslöv 6970,Nunnevägen 13-15,,,1909,utanför tätortsbebyggelse,,"scen, studielokal","mötesverksamhet, studiecirklar",,"Ö. Sönnarslöv med Maltesholm och Borrestad, Hembygdscirkel, 1993",I lokalen samt hos Gärds Härads Hembygdsför. Degeberga. ARAB: [organisationsklipp] vol 15,"FHP-enkät, KLM, Kristianstads Läns Demokraten 8 dec 1943",
0747,BD,Överkalix,Överkalix,Överkalix Folkets husförening upa,1948,Överkalix Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda, kommun, PRO, ABF",,Skolgatan 2,Knut Lundgren,Norrbottensbyggen,1985,inne i tätortsbebyggelse,,"scen, biograf, kök, studielokaler, danslokal","mötesverksamhet, teater, bio, konstutställningar, studiecirklar, konserter, musikcafé",,,1948-,FHP-enkät,Föreningen har haft tidigare FH på annan plats i tätorten. Rivet.
0748,AC,Robertsfors,,,,Överklintens Folkets Hus,,,,,,,,,,,,,,,FHP,
0749,BD,Övertorneå,,,,Övertorneå Folkets Hus,,,,,,,1985,,,,,,,,FHP,
0750,Y,Ånge,,,,Överturingens Folkets Hus,,,,,,,1914,,,,,,,"NM inventeringsrapport 1958, foto","FHP, NM",Rivet 1948
0751,H,Västervik,Överum,Föreningen Överums Folkpark upa,1930-talet,Vallonen,ekonomisk förening upa,kommun,Överum 9:1,,,,1959-1960,utanför tätortsbebyggelse,,,,,,I lokalen 1960-,"FHP-enkät, FPC",
0752,O,Ale,Starrkärr,Ale Folkets husförening,,Medborgarhus,Kommun,Drivs av folkets husföreningen.,,,,,1959-1961,Inne i tätortsbebyggelse,Ombyggt och renoverat senast 1994.,,"Bio, dans",,,,FHP-enkät samt följebrev,Alafors hade tidigare ett hus ägt av Ahlmedals som kallades Folkets Hus och idag är rivet. 1947 gick Nol och Alafors föreningarna ihop.
0753,O,Ale,Starrkärr,,,Nols Folkets Park,,,,,,,,,,,,,,,FHP-enkät samt följebrev (Ale fh-förening),Fanns fram till ca 1960.
0754,H,Västervik,,Föreningen Folkets Hus i Västervik,1898,Västerviks Folkets Hus,,,,,,,,,,,,,,"Norra Kalmar läns föreningsarkiv 1949-1993 ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10","FHP, NAD",
0755,AB,Stockholm,,Bagarmossens Folkets Hus,,Bagarmossens Folkets Hus,,,,Byälvsvägen 30,,,,,,,Skola,,,,FHP,
0756,AB,Stockholm,,Skarpnäck-Bagarmossens Folkets Hus,,Skarpnäck Folkets Hus,,,,,,,,,,,,,,,FHP,Gått i konkurs. Lokalerna drivs av kommunen.
0757,H,Mönsterås,,Blomstermåla Folkets Park upa,1925,Blomstermåla Folkets Park,ekonomisk förening,soc dem klubbar och enskilda,,,,,1925,,,,,,,"ARAB: FHP-samling övriga orter vol 4: fragment: stadgar 1947, verksamhetsberättelser 1947-51 och 1956, affischer 1915 och u å",FHP,
0758,W,Borlänge,Stora Tuna,"Föreningen Folkets Hus & Park, Borlänge, ekonomisk förening",1900,Borlänge Folkets Hus,ekonomisk förening upa,"Fackförening (majoritetsägare), arbetarekommun, s-förening, SSU-klubb, enskilda, kommunalt driftsbidrag",Borlänge Hagalund 1:7,Jussi Björlings väg 25,Jack Hansson,Skanska,1984-1985,inne i tätortsbebyggelse,,"scen, kök, 3 restauranger, danslokal, konferenslokaler, , museum, hotell","mötesverksamhet, teater, dans, restaurang, konferenser",,"Minnesskrift 40 år, Arndt Johansson, Borlänge, 1941 Minnesskrift 50 år, Harry Backlund, Sollefteå, 1951 Minnesskrift 90 år, Erik Norelius, Borlänge, 1991","Dalarnas folkrörelsearkiv 3, 4 hm 1901-1985","FHP-enkät, SF, NAD, FA","Folkets Hus ligger i Borlänge Folkets Park, som numera är kommunalt. Fd Folkets Hus 1901-1984 är nu kommunal teater - Maximteatern."
0759,T,Hällefors,,Hjulsjö Folkets husförening,1908,Södra hyttans Folkets Hus (Hjulsjö),ekonomisk förening,,,,,,,,,,,,,Folkrörelsernas arkiv i Örebro län FH Hällefors: 1908-85,"FHP-enkät, FA i Örebro, NAD",
0760,BD,Piteå,,Föreningen Folkets Hus,1935,Sikfors Folkets Hus,,,,,,,1939 (1937),,,"samlingssal, med scen, , scenloger, maskinrum, bibliotek, vaktmästarbostad, konditori mm",,,,ARAB: [samling] Organisationsklipp vol. 8,"FHP, LS, Örebro Kuriren 28 nov 1939",
0761,S,Forshaga,Nedre Ullerud,Föreningen Folkets Hus Deje,1910,Deje Folkets Park,ekonomisk förening u p a,,,,,,,,,,Riven.,,"Minnesskrift : föreningen Folkets Hus u.p.a., Deje 1910-1930",Folkrörelsernas arkiv för Värmland 7 vol 1931-1964 ARAB FH och FP samling: övriga landet vol. 5 Deje FH,"FHP-enkät, NAD",
0762,O,Orust,,Henåns Byggnadsförening u p a,1933,Henåns Folkets Hus,,,,,,,,,,,Nedlagd. Fungerar som musiklokal.,,,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment","FHP-enkät, ARAB",
0763,M,Hässleholm,,Fastighetsföreningen Folkets Hus Hässleholm,1906,Hässleholms Folkets Hus,,,,,,,1908,,,,,,,Folkrörelsernas arkiv i Hässleholm,"FHP, SF, NAD",
0764,M,Hässleholm,Tyringe,Föreningen Folkets Hus Tyringe,1923,Tyringe Folkets Hus,,,,,,,Omkring 1910,,,,,"Ordenshus, IOGT",,,"FHP, SF, NM",Fastigheten övertogs av IOGT-logen 1923.
0765,M,Hässleholm,,,,Sösala Folkets Hus,,,,,,,,,,,,,,,FHP,
0766,O,Sotenäs,Askum,Föreningen Folkets Hus å Malmön upa,1902,Bohus Malmöns Folkets Hus,,,Malmön 1:9,Lundéns väg 4,,,1905-1906,utanför tätortsbebyggelse,,,Brann ner 1983. Nytt FH på samma plats.,,,"Landsarkivet i Göteborg 1903-1962: protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, biografstatistik 1948-1962, handl. rörande biblioteksverksamhet 1898-1951 Bohusläns föreningsarkiv, Uddevalla 1948-59:  räkenskaper 0, 05 hm NM: inventeringsrapport 1958, vykort","FHP-enkät, SF, FA, NM, NAD",Brann ner 1983. Nytt FH på samma plats.
0767,E,Finspång,Hällestad,Borggårds Folkets husförening,1948,Borggårds Folkets Hus,,,,,,,,,,,Nedbrunnen 1970.,Skidbacksstugan ägd av AB Borggårds Bruk,,,FHP-enkät,"Den dåvarande Skidbacksstugan  överlämnades till Folkets husföreningen av AB Borggårds Bruk 1959, och blev då Borggårds Folkets Hus. Den 17 maj 1970, slog blixten ned i huset, och det brann ner. Föreningen byggde 1984 ett nytt Folkets Hus på annan plats i Borggård."
0768,,Sollefteå AC,,Edsele Ekonomiska Byggnadsförening,1906,,,godtemplare,,,,,,,,,,,,ARAB FH och FP samling: övriga landet vol. 5,,
0769,W,Falun,,Falu Folkets Hus,1896,Falu Folkets Hus,,,,Bergmästaregatan,,,,,,,Rivet,,Arndt Johansson: Falu arbetareförening : en historik [1866-1957],"Dalarnas Folkrörelsearkiv: Falu Folkets husförening 0, 7 hm 1896-1966 Dalarnas Folkrörelsearkiv: Falu arbetareförening 2, 9 hm 1866-1968","FHP, NAD",
0770,W,Falun,,Hälsingbergs Folkets husförening,1902,Hälsingbergs Folkets Hus,,,,,,,1903,,,,,,,,SF,
0771,S,Filipstad,,Skogsgårdens AB,1955,Filipstads Folkpark,,,,,,,1955,,,,,,,Värmlands folkrörelsearkiv och Folkets hus 1950-1999,"FHP-enkät (Filipstads folkets hus), FPC",Föreningen bildades 1944 under namnet Föreningen Filipstads Folkpark & Medborgarhus
0772,S,Filipstad,Gåsborn,Föreningen Folkets Hus i Älvsjöhyttan,1928,Älvsjöhyttan Folkets Hus & Park,ekonomisk förening,,,,,,,,,,,,,"Privat förvaring, kontakta Folkrörelsernas arkiv för Värmland 1929-1971","FHP-enkät (Filipstad folkets hus), NAD",
0773,Y,Sundsvall,Tuna,Folketshusföreningen Enighet upa,1921,Matfors Folkets Park,ekonomisk förening upa,"enskilda, kommun","Sköle 2:32, 3:92, 3:116",Parkvägen,,,,i anslutning till tätortsbebyggelse,Reparationer och underhåll.,"2 dansbanor, enkelt kök och kafélokal","mötesverksamhet, dans, uthyrning",,,"I Folkets hus, Centrumgatan 4","FHP-enkät, SF, FPC",
0774,O,Trollhättan,,Byggnadsföreningen Folkets Hus Trollhättan,1922,Trollhättans Folkets Hus,,,,Kungsgatan 21,"Johan Jarlén, Göteborg",,1936,inne i tätortsbebyggelse,,,Såld till privat fastighetsägare.,,"Jubileumsskrift 1922-1947 under mottot: “Egen härd är guld värd.” Utgiven i samband med byggnadsföreningen Folkets Hus u p a i Trollhättan 25-årsjubileum 1947. Lindström, Bengt: Folkets Hus i Trollhättan Kulturhuset. Så fick kulturen",ARAB [samling]: Folkets Hus och Parker: övriga landet vol. 9 fragment,"FHP-enkät, SF",
0775,F,Jönköping,,,1906,Jönköpings Folkets Park,,"fackföreningar, arbetarekommun",,,,,,,,,,,"Lindqvist, Sigvard: Jönköpings första Folkets Park : 1906-1911 [Artikel]",,,Folkets Park i Torpaområdet existerade mellan 1906 och 1911
0776,N,Hylte,,,,Unnaryds Folkets Hus,,,,,,,,,,,Rivet,,,ARAB: Folkets husföreningar vol. 3 [samling] klipp,"FHP, ARAB",
